Method Time Sample
utils-default 10904 1000
utils-default 11283 1100
utils-default 10597 1200
utils-default 10571 1300
utils-default 11337 1400
utils-default 10993 1500
utils-default 10545 1600
utils-default 11663 1700
utils-default 11364 1800
utils-default 11313 1900
utils-default 10527 2000
utils-default 10680 2100
utils-default 10564 2200
utils-default 10534 2300
utils-default 10711 2400
utils-default 12378 2500
utils-default 18822 2600
utils-default 16544 2700
utils-default 13660 2800
utils-default 16802 2900
utils-default 13608 3000
utils-default 11492 3100
utils-default 12225 3200
utils-default 16481 3300
utils-default 11581 3400
utils-default 10670 3500
utils-default 10578 3600
utils-default 12877 3700
utils-default 13050 3800
utils-default 12347 3900
utils-default 12209 4000
utils-default 11096 4100
utils-default 16790 4200
utils-default 11207 4300
utils-default 10869 4400
utils-default 12999 4500
utils-default 10918 4600
utils-default 11977 4700
utils-default 10701 4800
utils-default 12205 4900
utils-default 10995 5000
utils-default 10986 5100
utils-default 10948 5200
utils-default 11256 5300
utils-default 11173 5400
utils-default 12078 5500
utils-default 17724 5600
utils-default 13400 5700
utils-default 11234 5800
utils-default 12546 5900
utils-default 14634 6000
utils-default 10574 6100
utils-default 11195 6200
utils-default 10582 6300
utils-default 10590 6400
utils-default 10574 6500
utils-default 10730 6600
utils-default 10486 6700
utils-default 10647 6800
utils-default 10867 6900
utils-default 11761 7000
utils-default 11021 7100
utils-default 11250 7200
utils-default 10771 7300
utils-default 10678 7400
utils-default 11437 7500
utils-default 10800 7600
utils-default 11524 7700
utils-default 11052 7800
utils-default 13267 7900
utils-default 11134 8000
utils-default 13495 8100
utils-default 14601 8200
utils-default 11000 8300
utils-default 12781 8400
utils-default 12177 8500
utils-default 11129 8600
utils-default 10652 8700
utils-default 10673 8800
utils-default 10639 8900
utils-default 10698 9000
utils-default 10835 9100
utils-default 11170 9200
utils-default 13749 9300
utils-default 16076 9400
utils-default 12837 9500
utils-default 12719 9600
utils-default 11282 9700
utils-default 10687 9800
utils-default 10850 9900
utils-default 10904 10000
utils-default 10760 10100
utils-default 11935 10200
utils-default 11006 10300
utils-default 10649 10400
utils-default 11019 10500
utils-default 11085 10600
utils-default 11231 10700
utils-default 10823 10800
utils-default 10671 10900
utils-default 10865 11000
utils-default 11371 11100
utils-default 10760 11200
utils-default 10784 11300
utils-default 11098 11400
utils-default 10864 11500
utils-default 10660 11600
utils-default 11143 11700
utils-default 10764 11800
utils-default 10750 11900
utils-default 10956 12000
