NOME	ANO	LOCAL_ASSISTIR
Joker	1999	YouTube
Matrix	1988	Torrent
Shrek	2010	Disney+
Joker	1987	HBOMax
Parasite	1988	HBOMax
Gladiator	1998	AmazonPrime
Titanic	2002	HBOMax
Inception	2010	DVD
Avatar	2018	Torrent
Joker	2010	HBOMax
Joker	1994	Netflix
Matrix	1993	Cinemark
Titanic	1999	AmazonPrime
Joker	2011	Cinemark
Gladiator	1995	AmazonPrime
Gladiator	1999	AmazonPrime
Interstellar	1997	DVD
Interstellar	2020	GloboPlay
Matrix	1986	Netflix
Amélie	2014	Cinemark
Interstellar	1986	Disney+
Amélie	2015	Torrent
Interstellar	1982	DVD
Inception	1990	HBOMax
Amélie	2025	Disney+
Shrek	1995	HBOMax
Joker	1990	Disney+
Parasite	2020	HBOMax
Gladiator	2022	AmazonPrime
Amélie	2012	AmazonPrime
Titanic	2013	Torrent
Interstellar	2010	GloboPlay
Gladiator	2023	Torrent
Matrix	2023	AppleTV
Titanic	1998	AmazonPrime
Shrek	1984	AmazonPrime
Matrix	2015	AppleTV
Interstellar	2013	Disney+
Titanic	2011	Netflix
Joker	2012	DVD
Matrix	1999	HBO Max
Parasite	1995	Netflix
Matrix	2019	Cinemark
Titanic	2007	DVD
Inception	2023	Torrent
Interstellar	2005	DVD
Parasite	1994	DVD
Shrek	2008	HBOMax
Interstellar	2017	Cinemark
Parasite	1990	DVD
Joker	1985	DVD
Gladiator	1981	DVD
Shrek	2018	GloboPlay
Avatar	2015	Torrent
Interstellar	1989	Disney+
Interstellar	2003	AppleTV
Avatar	1998	AmazonPrime
Gladiator	2019	GloboPlay
Matrix	2024	Cinemark
Shrek	1988	Disney+
Inception	1996	Torrent
Titanic	1988	GloboPlay
Joker	2007	Netflix
Inception	2024	HBOMax
Joker	2002	GloboPlay
Inception	2000	AmazonPrime
Matrix	2018	Cinemark
Matrix	1985	Disney+
Titanic	1982	Cinemark
Parasite	2017	YouTube
Amélie	2001	Netflix
Gladiator	2024	Torrent
Titanic	2001	GloboPlay
Titanic	2012	Netflix
Interstellar	1994	Disney+
Matrix	1989	GloboPlay
Parasite	2005	Netflix
Inception	1991	GloboPlay
Amélie	2002	YouTube
Amélie	2005	DVD
Joker	2013	AmazonPrime
Inception	1981	YouTube
Parasite	1992	Cinemark
Avatar	2002	Disney+
Gladiator	2014	YouTube
Avatar	1982	AppleTV
Interstellar	2019	Torrent
Avatar	1992	AmazonPrime
Interstellar	1998	HBOMax
Interstellar	1987	Netflix
Joker	2000	AmazonPrime
Interstellar	2001	AmazonPrime
Amélie	1999	DVD
Joker	2018	GloboPlay
Matrix	2025	HBO Max
Parasite	2004	Netflix
Amélie	2010	Torrent
Parasite	1997	YouTube
Inception	2013	YouTube
Avatar	1988	YouTube
Joker	1980	AmazonPrime
Matrix	2011	Cinemark
Gladiator	2006	YouTube
Joker	2024	AmazonPrime
Avatar	1996	DVD
Inception	2007	YouTube
Matrix	2003	Disney+
Gladiator	2013	Disney+
Gladiator	1993	Netflix
Interstellar	2015	YouTube
Joker	1989	GloboPlay
Shrek	2015	HBOMax
Gladiator	2018	Disney+
Matrix	1991	YouTube
Interstellar	2018	GloboPlay
Parasite	1993	Netflix
Amélie	2016	HBOMax
Avatar	2001	Torrent
Amélie	1994	YouTube
Avatar	2014	Cinemark
Amélie	1989	Disney+
Amélie	1987	Netflix
Gladiator	2005	GloboPlay
Amélie	1980	DVD
Joker	1992	Torrent
Matrix	1983	Cinemark
Inception	1984	AppleTV
Inception	1997	Torrent
Matrix	2002	HBOMax
Interstellar	2000	AmazonPrime
Parasite	1985	YouTube
Avatar	1995	Cinemark
Amélie	1983	YouTube
Joker	1998	HBOMax
Titanic	1986	AmazonPrime
Inception	2005	DVD
Gladiator	2012	Torrent
Shrek	2011	Disney+
Shrek	2013	GloboPlay
Gladiator	1985	AppleTV
Interstellar	2022	Cinemark
Amélie	2006	DVD
Gladiator	2000	AppleTV
Gladiator	2002	Disney+
Inception	1985	GloboPlay
Amélie	2024	Torrent
Inception	1980	DVD
Joker	2008	AmazonPrime
Gladiator	2011	AmazonPrime
Matrix	2009	Netflix
Titanic	2021	AppleTV
Amélie	1982	AppleTV
Parasite	1991	AmazonPrime
Titanic	2019	Netflix
Inception	1994	AppleTV
Titanic	1984	GloboPlay
Avatar	1984	AmazonPrime
Shrek	2001	Cinemark
Shrek	1996	Torrent
Amélie	2008	GloboPlay
Titanic	1992	Disney+
Interstellar	2008	GloboPlay
Titanic	1997	HBOMax
Inception	2015	AppleTV
Inception	1995	GloboPlay
Titanic	2014	Torrent
Interstellar	1993	DVD
Parasite	1984	YouTube
Matrix	2020	Netflix
Shrek	2021	GloboPlay
Amélie	2019	Cinemark
Amélie	2021	Cinemark
Shrek	1993	DVD
Matrix	1994	DVD
Parasite	2007	AmazonPrime
Matrix	2005	YouTube
Avatar	2011	Disney+
Shrek	1980	AppleTV
Shrek	2007	Netflix
Inception	2003	Netflix
Avatar	1987	YouTube
Titanic	1996	GloboPlay
Matrix	2012	YouTube
Matrix	2008	DVD
Shrek	1981	AppleTV
Gladiator	2009	AmazonPrime
Matrix	2007	Torrent
Parasite	1989	AmazonPrime
Shrek	1982	Cinemark
Gladiator	2020	GloboPlay
Avatar	2022	YouTube
Avatar	2024	Cinemark
Inception	1986	AppleTV
Matrix	2001	AmazonPrime
Amélie	2011	Torrent
Interstellar	1999	YouTube
Matrix	2013	GloboPlay
Shrek	2003	GloboPlay
Gladiator	1994	Disney+
Amélie	2004	DVD
Parasite	2000	AmazonPrime
Amélie	1992	Torrent
Matrix	1990	Torrent
Gladiator	1996	GloboPlay
Interstellar	1984	AppleTV
