Method Time Sample
Adicionar-Hot 8923 1000
Adicionar-Hot 14 2000
Adicionar-Hot 15 3000
Adicionar-Hot 21 4000
Adicionar-Hot 10 5000
Adicionar-Hot 148 6000
Adicionar-Hot 1015 7000
Adicionar-Hot 1017 8000
Adicionar-Hot 1013 9000
Adicionar-Hot 1012 10000
Adicionar-Hot 1015 11000
Adicionar-Hot 1029 12000
Adicionar-Hot 1055 13000
Adicionar-Hot 1210 14000
Adicionar-Hot 2013 15000
Adicionar-Hot 2012 16000
Adicionar-Hot 2023 17000
Adicionar-Hot 2015 18000
Adicionar-Hot 2021 19000
Adicionar-Hot 2032 20000
Adicionar-Hot 2017 21000
Adicionar-Hot 3010 22000
Adicionar-Hot 3017 23000
Adicionar-Hot 3029 24000
Adicionar-Hot 3010 25000
Adicionar-Hot 3013 26000
Adicionar-Hot 3041 27000
Adicionar-Hot 3038 28000
Adicionar-Hot 3043 29000
Adicionar-Hot 4018 30000
Adicionar-Hot 4013 31000
Adicionar-Hot 4011 32000
Adicionar-Hot 4028 33000
Adicionar-Hot 4017 34000
Adicionar-Hot 4023 35000
Adicionar-Hot 4020 36000
Adicionar-Hot 5025 37000
Adicionar-Hot 5011 38000
Adicionar-Hot 5023 39000
Adicionar-Hot 5015 40000
Adicionar-Hot 5046 41000
Adicionar-Hot 5567 42000
Adicionar-Hot 5360 43000
Adicionar-Hot 5559 44000
Adicionar-Hot 6015 45000
Adicionar-Hot 6015 46000
Adicionar-Hot 6025 47000
Adicionar-Hot 6042 48000
Adicionar-Hot 6016 49000
Adicionar-Hot 6028 50000
Adicionar-Hot 6096 51000
Adicionar-Hot 7026 52000
Adicionar-Hot 7015 53000
Adicionar-Hot 7026 54000
Adicionar-Hot 7024 55000
Adicionar-Hot 7033 56000
Adicionar-Hot 7045 57000
Adicionar-Hot 7017 58000
Adicionar-Hot 8031 59000
Adicionar-Hot 10233 60000
Adicionar-Hot 10396 61000
Adicionar-Hot 10089 62000
Adicionar-Hot 9817 63000
Adicionar-Hot 9085 64000
Adicionar-Hot 8669 65000
Adicionar-Hot 8430 66000
Adicionar-Hot 9413 67000
Adicionar-Hot 9370 68000
Adicionar-Hot 9480 69000
Adicionar-Hot 9234 70000
Adicionar-Hot 9031 71000
Adicionar-Hot 9030 72000
Adicionar-Hot 9085 73000
Adicionar-Hot 10031 74000
Adicionar-Hot 10749 75000
Adicionar-Hot 11238 76000
Adicionar-Hot 10700 77000
Adicionar-Hot 10088 78000
Adicionar-Hot 10031 79000
Adicionar-Hot 10049 80000
Adicionar-Hot 11028 81000
Adicionar-Hot 11163 82000
Adicionar-Hot 11414 83000
Adicionar-Hot 11970 84000
Adicionar-Hot 12040 85000
Adicionar-Hot 11810 86000
Adicionar-Hot 12002 87000
Adicionar-Hot 11796 88000
Adicionar-Hot 12628 89000
Adicionar-Hot 12775 90000
Adicionar-Hot 12789 91000
Adicionar-Hot 12850 92000
Adicionar-Hot 12794 93000
Adicionar-Hot 12872 94000
Adicionar-Hot 12471 95000
Adicionar-Hot 13145 96000
Adicionar-Hot 13031 97000
Adicionar-Hot 13035 98000
Adicionar-Hot 13050 99000
Adicionar-Hot 14453 100000
Adicionar-Hot 13374 101000
Adicionar-Hot 17602 102000
Adicionar-Hot 14147 103000
Adicionar-Hot 14120 104000
Adicionar-Hot 14062 105000
Adicionar-Hot 14043 106000
Adicionar-Hot 14051 107000
Adicionar-Hot 14047 108000
Adicionar-Hot 14043 109000
Adicionar-Hot 14099 110000
Adicionar-Hot 15529 111000
Adicionar-Hot 15767 112000
Adicionar-Hot 15315 113000
Adicionar-Hot 16557 114000
Adicionar-Hot 16217 115000
Adicionar-Hot 15933 116000
Adicionar-Hot 16018 117000
Adicionar-Hot 17568 118000
Adicionar-Hot 18585 119000
Adicionar-Hot 18313 120000
Adicionar-Hot 17833 121000
Adicionar-Hot 16892 122000
Adicionar-Hot 17845 123000
Adicionar-Hot 17346 124000
Adicionar-Hot 17236 125000
Adicionar-Hot 17846 126000
Adicionar-Hot 17598 127000
Adicionar-Hot 18079 128000
Adicionar-Hot 18708 129000
Adicionar-Hot 17944 130000
Adicionar-Hot 18572 131000
Adicionar-Hot 18801 132000
Adicionar-Hot 18292 133000
Adicionar-Hot 19028 134000
Adicionar-Hot 18736 135000
Adicionar-Hot 19176 136000
Adicionar-Hot 19077 137000
Adicionar-Hot 18619 138000
Adicionar-Hot 19660 139000
Adicionar-Hot 20076 140000
Adicionar-Hot 20681 141000
Adicionar-Hot 25312 142000
Adicionar-Hot 20941 143000
Adicionar-Hot 23445 144000
Adicionar-Hot 21263 145000
Adicionar-Hot 19997 146000
Adicionar-Hot 20423 147000
Adicionar-Hot 21204 148000
Adicionar-Hot 20590 149000
Adicionar-Hot 21121 150000
Adicionar-Hot 20913 151000
Adicionar-Hot 21616 152000
Adicionar-Hot 21228 153000
Adicionar-Hot 21781 154000
Adicionar-Hot 22621 155000
Adicionar-Hot 21898 156000
Adicionar-Hot 21826 157000
Adicionar-Hot 25087 158000
Adicionar-Hot 22588 159000
Adicionar-Hot 22092 160000
Adicionar-Hot 22878 161000
Adicionar-Hot 22671 162000
Adicionar-Hot 22923 163000
Adicionar-Hot 23424 164000
Adicionar-Hot 23208 165000
Adicionar-Hot 26476 166000
Adicionar-Hot 25150 167000
Adicionar-Hot 25881 168000
Adicionar-Hot 23556 169000
Adicionar-Hot 24651 170000
Adicionar-Hot 24430 171000
Adicionar-Hot 24249 172000
Adicionar-Hot 24182 173000
Adicionar-Hot 24287 174000
Adicionar-Hot 25161 175000
Adicionar-Hot 26000 176000
Adicionar-Hot 25089 177000
Adicionar-Hot 25241 178000
Adicionar-Hot 24913 179000
Adicionar-Hot 25712 180000
Adicionar-Hot 25128 181000
Adicionar-Hot 26520 182000
Adicionar-Hot 25620 183000
Adicionar-Hot 26521 184000
Adicionar-Hot 31132 185000
Adicionar-Hot 28761 186000
Adicionar-Hot 27789 187000
Adicionar-Hot 26820 188000
Adicionar-Hot 26373 189000
Adicionar-Hot 26662 190000
Adicionar-Hot 27770 191000
Adicionar-Hot 29752 192000
Adicionar-Hot 31103 193000
Adicionar-Hot 29503 194000
Adicionar-Hot 29016 195000
Adicionar-Hot 29212 196000
Adicionar-Hot 29427 197000
Adicionar-Hot 32535 198000
Adicionar-Hot 33848 199000
Adicionar-Hot 33291 200000
Adicionar-Hot 31120 201000
Adicionar-Hot 33762 202000
Adicionar-Hot 31167 203000
Adicionar-Hot 29764 204000
Adicionar-Hot 29691 205000
Adicionar-Hot 29481 206000
Adicionar-Hot 30606 207000
Adicionar-Hot 30729 208000
Adicionar-Hot 31256 209000
Adicionar-Hot 34226 210000
Adicionar-Hot 33156 211000
Adicionar-Hot 33861 212000
Adicionar-Hot 33051 213000
Adicionar-Hot 33938 214000
Adicionar-Hot 48453 215000
Adicionar-Hot 37681 216000
Adicionar-Hot 35520 217000
Adicionar-Hot 35276 218000
Adicionar-Hot 33720 219000
Adicionar-Hot 32166 220000
Adicionar-Hot 33576 221000
Adicionar-Hot 36366 222000
Adicionar-Hot 37463 223000
Adicionar-Hot 37453 224000
Adicionar-Hot 37243 225000
Adicionar-Hot 37434 226000
Adicionar-Hot 36838 227000
Adicionar-Hot 35812 228000
Adicionar-Hot 37577 229000
Adicionar-Hot 32841 230000
Adicionar-Hot 33521 231000
Adicionar-Hot 38625 232000
Adicionar-Hot 33945 233000
Adicionar-Hot 40503 234000
Adicionar-Hot 46627 235000
Adicionar-Hot 42009 236000
Adicionar-Hot 47970 237000
Adicionar-Hot 48793 238000
Adicionar-Hot 41400 239000
Adicionar-Hot 38740 240000
Adicionar-Hot 37587 241000
Adicionar-Hot 37639 242000
Adicionar-Hot 38907 243000
Adicionar-Hot 38513 244000
Adicionar-Hot 39327 245000
Adicionar-Hot 40257 246000
Adicionar-Hot 40451 247000
Adicionar-Hot 41155 248000
Adicionar-Hot 41127 249000
Adicionar-Hot 40654 250000
Adicionar-Hot 40946 251000
Adicionar-Hot 39493 252000
Adicionar-Hot 41611 253000
Adicionar-Hot 39079 254000
Adicionar-Hot 39585 255000
Adicionar-Hot 40048 256000
Adicionar-Hot 41471 257000
Adicionar-Hot 39733 258000
Adicionar-Hot 37421 259000
Adicionar-Hot 37147 260000
Adicionar-Hot 37719 261000
Adicionar-Hot 38517 262000
Adicionar-Hot 37813 263000
Adicionar-Hot 39190 264000
Adicionar-Hot 44137 265000
Adicionar-Hot 46260 266000
Adicionar-Hot 45057 267000
Adicionar-Hot 44834 268000
Adicionar-Hot 46202 269000
Adicionar-Hot 43562 270000
Adicionar-Hot 42580 271000
Adicionar-Hot 42530 272000
Adicionar-Hot 42623 273000
Adicionar-Hot 43732 274000
Adicionar-Hot 43342 275000
Adicionar-Hot 44366 276000
Adicionar-Hot 48661 277000
Adicionar-Hot 45817 278000
Adicionar-Hot 45441 279000
Adicionar-Hot 46298 280000
Adicionar-Hot 44639 281000
Adicionar-Hot 44036 282000
Adicionar-Hot 43455 283000
Adicionar-Hot 42965 284000
Adicionar-Hot 45065 285000
Adicionar-Hot 44399 286000
Adicionar-Hot 46557 287000
Adicionar-Hot 47982 288000
Adicionar-Hot 48089 289000
Adicionar-Hot 46765 290000
Adicionar-Hot 52511 291000
Adicionar-Hot 50210 292000
Adicionar-Hot 47580 293000
Adicionar-Hot 47017 294000
Adicionar-Hot 46273 295000
Adicionar-Hot 47921 296000
Adicionar-Hot 48127 297000
Adicionar-Hot 52845 298000
Adicionar-Hot 56196 299000
Adicionar-Hot 46727 300000
Adicionar-Hot 44873 301000
Adicionar-Hot 43025 302000
Adicionar-Hot 45249 303000
Adicionar-Hot 44081 304000
Adicionar-Hot 43517 305000
Adicionar-Hot 43778 306000
Adicionar-Hot 49031 307000
Adicionar-Hot 52435 308000
Adicionar-Hot 51481 309000
Adicionar-Hot 50954 310000
Adicionar-Hot 52566 311000
Adicionar-Hot 51950 312000
Adicionar-Hot 54263 313000
Adicionar-Hot 46456 314000
Adicionar-Hot 50620 315000
Adicionar-Hot 47140 316000
Adicionar-Hot 50442 317000
Adicionar-Hot 48913 318000
Adicionar-Hot 52893 319000
Adicionar-Hot 53558 320000
Adicionar-Hot 57386 321000
Adicionar-Hot 55808 322000
Adicionar-Hot 55800 323000
Adicionar-Hot 50624 324000
Adicionar-Hot 53374 325000
Adicionar-Hot 50347 326000
Adicionar-Hot 51358 327000
Adicionar-Hot 49954 328000
Adicionar-Hot 49265 329000
Adicionar-Hot 48901 330000
Adicionar-Hot 51087 331000
Adicionar-Hot 49087 332000
Adicionar-Hot 51423 333000
Adicionar-Hot 48616 334000
Adicionar-Hot 50973 335000
Adicionar-Hot 48765 336000
Adicionar-Hot 52381 337000
Adicionar-Hot 51310 338000
Adicionar-Hot 51393 339000
Adicionar-Hot 54658 340000
Adicionar-Hot 50045 341000
Adicionar-Hot 55138 342000
Adicionar-Hot 49685 343000
Adicionar-Hot 53283 344000
Adicionar-Hot 52182 345000
Adicionar-Hot 53102 346000
Adicionar-Hot 52812 347000
Adicionar-Hot 54002 348000
Adicionar-Hot 51767 349000
Adicionar-Hot 53681 350000
Adicionar-Hot 51423 351000
Adicionar-Hot 54146 352000
Adicionar-Hot 51511 353000
Adicionar-Hot 54973 354000
Adicionar-Hot 55747 355000
Adicionar-Hot 57260 356000
Adicionar-Hot 51743 357000
Adicionar-Hot 58090 358000
Adicionar-Hot 54653 359000
Adicionar-Hot 56252 360000
Adicionar-Hot 53291 361000
Adicionar-Hot 56434 362000
Adicionar-Hot 53355 363000
Adicionar-Hot 56265 364000
Adicionar-Hot 53464 365000
Adicionar-Hot 57155 366000
Adicionar-Hot 56281 367000
Adicionar-Hot 57354 368000
Adicionar-Hot 53726 369000
Adicionar-Hot 59589 370000
Adicionar-Hot 55250 371000
Adicionar-Hot 57018 372000
Adicionar-Hot 54060 373000
Adicionar-Hot 57513 374000
Adicionar-Hot 56023 375000
Adicionar-Hot 58057 376000
