Method Time Sample
Cadastra-Filmes 3295 1000
Cadastra-Filmes 46 2000
Cadastra-Filmes 74 3000
Cadastra-Filmes 79 4000
Cadastra-Filmes 90 5000
Cadastra-Filmes 97 6000
Cadastra-Filmes 159 7000
Cadastra-Filmes 1041 8000
Cadastra-Filmes 1106 9000
Cadastra-Filmes 1045 10000
Cadastra-Filmes 1084 11000
Cadastra-Filmes 1073 12000
Cadastra-Filmes 1065 13000
Cadastra-Filmes 1077 14000
Cadastra-Filmes 1164 15000
Cadastra-Filmes 2051 16000
Cadastra-Filmes 2074 17000
Cadastra-Filmes 2093 18000
Cadastra-Filmes 2050 19000
Cadastra-Filmes 2097 20000
Cadastra-Filmes 2081 21000
Cadastra-Filmes 2099 22000
Cadastra-Filmes 2579 23000
Cadastra-Filmes 3076 24000
Cadastra-Filmes 3090 25000
Cadastra-Filmes 3096 26000
Cadastra-Filmes 3101 27000
Cadastra-Filmes 3119 28000
Cadastra-Filmes 3092 29000
Cadastra-Filmes 3092 30000
Cadastra-Filmes 4086 31000
Cadastra-Filmes 4073 32000
Cadastra-Filmes 4076 33000
Cadastra-Filmes 4130 34000
Cadastra-Filmes 4093 35000
Cadastra-Filmes 4164 36000
Cadastra-Filmes 4095 37000
Cadastra-Filmes 4109 38000
Cadastra-Filmes 5073 39000
Cadastra-Filmes 5080 40000
Cadastra-Filmes 5075 41000
Cadastra-Filmes 5097 42000
Cadastra-Filmes 5089 43000
Cadastra-Filmes 5106 44000
Cadastra-Filmes 5122 45000
Cadastra-Filmes 5120 46000
Cadastra-Filmes 6118 47000
Cadastra-Filmes 6090 48000
Cadastra-Filmes 6102 49000
Cadastra-Filmes 6099 50000
Cadastra-Filmes 6121 51000
Cadastra-Filmes 6217 52000
Cadastra-Filmes 6110 53000
Cadastra-Filmes 6121 54000
Cadastra-Filmes 7090 55000
Cadastra-Filmes 7146 56000
Cadastra-Filmes 7105 57000
Cadastra-Filmes 7175 58000
Cadastra-Filmes 7324 59000
Cadastra-Filmes 7134 60000
Cadastra-Filmes 7164 61000
Cadastra-Filmes 7156 62000
Cadastra-Filmes 8123 63000
Cadastra-Filmes 8111 64000
Cadastra-Filmes 8190 65000
Cadastra-Filmes 8142 66000
Cadastra-Filmes 8085 67000
Cadastra-Filmes 8164 68000
Cadastra-Filmes 8150 69000
Cadastra-Filmes 8154 70000
Cadastra-Filmes 9139 71000
Cadastra-Filmes 9131 72000
Cadastra-Filmes 9136 73000
Cadastra-Filmes 9220 74000
Cadastra-Filmes 9105 75000
Cadastra-Filmes 9110 76000
Cadastra-Filmes 9113 77000
Cadastra-Filmes 9089 78000
Cadastra-Filmes 10111 79000
Cadastra-Filmes 10101 80000
Cadastra-Filmes 10088 81000
Cadastra-Filmes 10099 82000
Cadastra-Filmes 10098 83000
Cadastra-Filmes 10139 84000
Cadastra-Filmes 10123 85000
Cadastra-Filmes 10138 86000
Cadastra-Filmes 11100 87000
Cadastra-Filmes 11114 88000
Cadastra-Filmes 11085 89000
Cadastra-Filmes 11097 90000
Cadastra-Filmes 11105 91000
Cadastra-Filmes 11417 92000
Cadastra-Filmes 11522 93000
Cadastra-Filmes 12237 94000
Cadastra-Filmes 12593 95000
Cadastra-Filmes 12349 96000
Cadastra-Filmes 12312 97000
Cadastra-Filmes 12473 98000
Cadastra-Filmes 12286 99000
Cadastra-Filmes 12657 100000
Cadastra-Filmes 12477 101000
Cadastra-Filmes 13507 102000
Cadastra-Filmes 13473 103000
Cadastra-Filmes 13413 104000
Cadastra-Filmes 13778 105000
Cadastra-Filmes 13427 106000
Cadastra-Filmes 13761 107000
Cadastra-Filmes 13660 108000
