Method Time Sample
Cadastra-Filmes-OTIMIZADO 0 1000
Cadastra-Filmes-OTIMIZADO 1 2000
Cadastra-Filmes-OTIMIZADO 0 3000
Cadastra-Filmes-OTIMIZADO 0 4000
Cadastra-Filmes-OTIMIZADO 2 5000
Cadastra-Filmes-OTIMIZADO 2 6000
Cadastra-Filmes-OTIMIZADO 1 7000
Cadastra-Filmes-OTIMIZADO 0 8000
Cadastra-Filmes-OTIMIZADO 0 9000
Cadastra-Filmes-OTIMIZADO 0 10000
Cadastra-Filmes-OTIMIZADO 0 11000
Cadastra-Filmes-OTIMIZADO 0 12000
Cadastra-Filmes-OTIMIZADO 0 13000
Cadastra-Filmes-OTIMIZADO 0 14000
Cadastra-Filmes-OTIMIZADO 0 15000
Cadastra-Filmes-OTIMIZADO 0 16000
Cadastra-Filmes-OTIMIZADO 0 17000
Cadastra-Filmes-OTIMIZADO 0 18000
Cadastra-Filmes-OTIMIZADO 0 19000
Cadastra-Filmes-OTIMIZADO 0 20000
Cadastra-Filmes-OTIMIZADO 0 21000
Cadastra-Filmes-OTIMIZADO 0 22000
Cadastra-Filmes-OTIMIZADO 0 23000
Cadastra-Filmes-OTIMIZADO 0 24000
Cadastra-Filmes-OTIMIZADO 0 25000
Cadastra-Filmes-OTIMIZADO 0 26000
Cadastra-Filmes-OTIMIZADO 0 27000
Cadastra-Filmes-OTIMIZADO 0 28000
Cadastra-Filmes-OTIMIZADO 0 29000
Cadastra-Filmes-OTIMIZADO 0 30000
Cadastra-Filmes-OTIMIZADO 0 31000
Cadastra-Filmes-OTIMIZADO 0 32000
Cadastra-Filmes-OTIMIZADO 0 33000
Cadastra-Filmes-OTIMIZADO 0 34000
Cadastra-Filmes-OTIMIZADO 0 35000
Cadastra-Filmes-OTIMIZADO 0 36000
Cadastra-Filmes-OTIMIZADO 0 37000
Cadastra-Filmes-OTIMIZADO 0 38000
Cadastra-Filmes-OTIMIZADO 0 39000
Cadastra-Filmes-OTIMIZADO 0 40000
Cadastra-Filmes-OTIMIZADO 0 41000
Cadastra-Filmes-OTIMIZADO 0 42000
Cadastra-Filmes-OTIMIZADO 0 43000
Cadastra-Filmes-OTIMIZADO 0 44000
Cadastra-Filmes-OTIMIZADO 0 45000
Cadastra-Filmes-OTIMIZADO 0 46000
Cadastra-Filmes-OTIMIZADO 0 47000
Cadastra-Filmes-OTIMIZADO 0 48000
Cadastra-Filmes-OTIMIZADO 0 49000
Cadastra-Filmes-OTIMIZADO 0 50000
Cadastra-Filmes-OTIMIZADO 0 51000
Cadastra-Filmes-OTIMIZADO 0 52000
Cadastra-Filmes-OTIMIZADO 0 53000
Cadastra-Filmes-OTIMIZADO 0 54000
Cadastra-Filmes-OTIMIZADO 0 55000
Cadastra-Filmes-OTIMIZADO 0 56000
Cadastra-Filmes-OTIMIZADO 0 57000
Cadastra-Filmes-OTIMIZADO 0 58000
Cadastra-Filmes-OTIMIZADO 0 59000
Cadastra-Filmes-OTIMIZADO 0 60000
Cadastra-Filmes-OTIMIZADO 0 61000
Cadastra-Filmes-OTIMIZADO 0 62000
Cadastra-Filmes-OTIMIZADO 0 63000
Cadastra-Filmes-OTIMIZADO 0 64000
Cadastra-Filmes-OTIMIZADO 0 65000
Cadastra-Filmes-OTIMIZADO 0 66000
Cadastra-Filmes-OTIMIZADO 0 67000
Cadastra-Filmes-OTIMIZADO 0 68000
Cadastra-Filmes-OTIMIZADO 0 69000
Cadastra-Filmes-OTIMIZADO 0 70000
Cadastra-Filmes-OTIMIZADO 0 71000
Cadastra-Filmes-OTIMIZADO 0 72000
Cadastra-Filmes-OTIMIZADO 0 73000
Cadastra-Filmes-OTIMIZADO 0 74000
Cadastra-Filmes-OTIMIZADO 0 75000
Cadastra-Filmes-OTIMIZADO 0 76000
Cadastra-Filmes-OTIMIZADO 0 77000
Cadastra-Filmes-OTIMIZADO 0 78000
Cadastra-Filmes-OTIMIZADO 0 79000
Cadastra-Filmes-OTIMIZADO 0 80000
Cadastra-Filmes-OTIMIZADO 0 81000
Cadastra-Filmes-OTIMIZADO 0 82000
Cadastra-Filmes-OTIMIZADO 0 83000
Cadastra-Filmes-OTIMIZADO 0 84000
Cadastra-Filmes-OTIMIZADO 0 85000
Cadastra-Filmes-OTIMIZADO 0 86000
Cadastra-Filmes-OTIMIZADO 0 87000
Cadastra-Filmes-OTIMIZADO 0 88000
Cadastra-Filmes-OTIMIZADO 0 89000
Cadastra-Filmes-OTIMIZADO 0 90000
Cadastra-Filmes-OTIMIZADO 0 91000
Cadastra-Filmes-OTIMIZADO 0 92000
Cadastra-Filmes-OTIMIZADO 0 93000
Cadastra-Filmes-OTIMIZADO 0 94000
Cadastra-Filmes-OTIMIZADO 0 95000
Cadastra-Filmes-OTIMIZADO 0 96000
Cadastra-Filmes-OTIMIZADO 0 97000
Cadastra-Filmes-OTIMIZADO 0 98000
Cadastra-Filmes-OTIMIZADO 0 99000
Cadastra-Filmes-OTIMIZADO 0 100000
Cadastra-Filmes-OTIMIZADO 0 101000
Cadastra-Filmes-OTIMIZADO 0 102000
Cadastra-Filmes-OTIMIZADO 0 103000
Cadastra-Filmes-OTIMIZADO 0 104000
Cadastra-Filmes-OTIMIZADO 0 105000
Cadastra-Filmes-OTIMIZADO 0 106000
Cadastra-Filmes-OTIMIZADO 0 107000
Cadastra-Filmes-OTIMIZADO 0 108000
Cadastra-Filmes-OTIMIZADO 0 109000
Cadastra-Filmes-OTIMIZADO 0 110000
Cadastra-Filmes-OTIMIZADO 0 111000
Cadastra-Filmes-OTIMIZADO 0 112000
Cadastra-Filmes-OTIMIZADO 0 113000
Cadastra-Filmes-OTIMIZADO 0 114000
Cadastra-Filmes-OTIMIZADO 0 115000
Cadastra-Filmes-OTIMIZADO 0 116000
Cadastra-Filmes-OTIMIZADO 0 117000
Cadastra-Filmes-OTIMIZADO 0 118000
Cadastra-Filmes-OTIMIZADO 0 119000
Cadastra-Filmes-OTIMIZADO 0 120000
Cadastra-Filmes-OTIMIZADO 0 121000
Cadastra-Filmes-OTIMIZADO 0 122000
Cadastra-Filmes-OTIMIZADO 0 123000
Cadastra-Filmes-OTIMIZADO 0 124000
Cadastra-Filmes-OTIMIZADO 0 125000
Cadastra-Filmes-OTIMIZADO 0 126000
Cadastra-Filmes-OTIMIZADO 0 127000
Cadastra-Filmes-OTIMIZADO 0 128000
Cadastra-Filmes-OTIMIZADO 0 129000
Cadastra-Filmes-OTIMIZADO 0 130000
Cadastra-Filmes-OTIMIZADO 0 131000
