Method Time Sample
METHOD_DEAFAULT-O(2N) 25010 1000
METHOD_OPTMIZED-O(N) 10212 1000
METHOD_DEAFAULT-O(2N) 9185 2000
METHOD_OPTMIZED-O(N) 1766 2000
METHOD_DEAFAULT-O(2N) 7434 3000
METHOD_OPTMIZED-O(N) 2744 3000
METHOD_DEAFAULT-O(2N) 12358 4000
METHOD_OPTMIZED-O(N) 3427 4000
METHOD_DEAFAULT-O(2N) 11795 5000
METHOD_OPTMIZED-O(N) 4525 5000
METHOD_DEAFAULT-O(2N) 15490 6000
METHOD_OPTMIZED-O(N) 5376 6000
METHOD_DEAFAULT-O(2N) 29194 7000
METHOD_OPTMIZED-O(N) 6604 7000
METHOD_DEAFAULT-O(2N) 23023 8000
METHOD_OPTMIZED-O(N) 7290 8000
METHOD_DEAFAULT-O(2N) 23157 9000
METHOD_OPTMIZED-O(N) 8698 9000
METHOD_DEAFAULT-O(2N) 38728 10000
METHOD_OPTMIZED-O(N) 9598 10000
METHOD_DEAFAULT-O(2N) 41756 11000
METHOD_OPTMIZED-O(N) 11570 11000
METHOD_DEAFAULT-O(2N) 31307 12000
METHOD_OPTMIZED-O(N) 12072 12000
METHOD_DEAFAULT-O(2N) 33362 13000
METHOD_OPTMIZED-O(N) 12643 13000
METHOD_DEAFAULT-O(2N) 46031 14000
METHOD_OPTMIZED-O(N) 13528 14000
METHOD_DEAFAULT-O(2N) 52599 15000
METHOD_OPTMIZED-O(N) 15086 15000
METHOD_DEAFAULT-O(2N) 41951 16000
METHOD_OPTMIZED-O(N) 15699 16000
METHOD_DEAFAULT-O(2N) 41045 17000
METHOD_OPTMIZED-O(N) 16575 17000
METHOD_DEAFAULT-O(2N) 47043 18000
METHOD_OPTMIZED-O(N) 18012 18000
METHOD_DEAFAULT-O(2N) 57446 19000
METHOD_OPTMIZED-O(N) 19817 19000
METHOD_DEAFAULT-O(2N) 53290 20000
METHOD_OPTMIZED-O(N) 20551 20000
METHOD_DEAFAULT-O(2N) 54385 21000
METHOD_OPTMIZED-O(N) 22377 21000
METHOD_DEAFAULT-O(2N) 58392 22000
METHOD_OPTMIZED-O(N) 23379 22000
METHOD_DEAFAULT-O(2N) 55941 23000
METHOD_OPTMIZED-O(N) 23035 23000
METHOD_DEAFAULT-O(2N) 56793 24000
METHOD_OPTMIZED-O(N) 23879 24000
METHOD_DEAFAULT-O(2N) 64490 25000
METHOD_OPTMIZED-O(N) 25764 25000
METHOD_DEAFAULT-O(2N) 68150 26000
METHOD_OPTMIZED-O(N) 27748 26000
METHOD_DEAFAULT-O(2N) 70999 27000
METHOD_OPTMIZED-O(N) 29147 27000
METHOD_DEAFAULT-O(2N) 87926 28000
METHOD_OPTMIZED-O(N) 35774 28000
METHOD_DEAFAULT-O(2N) 77542 29000
METHOD_OPTMIZED-O(N) 32665 29000
METHOD_DEAFAULT-O(2N) 95029 30000
METHOD_OPTMIZED-O(N) 40524 30000
METHOD_DEAFAULT-O(2N) 77233 31000
METHOD_OPTMIZED-O(N) 32115 31000
METHOD_DEAFAULT-O(2N) 84359 32000
METHOD_OPTMIZED-O(N) 35563 32000
METHOD_DEAFAULT-O(2N) 90391 33000
METHOD_OPTMIZED-O(N) 36054 33000
METHOD_DEAFAULT-O(2N) 102107 34000
METHOD_OPTMIZED-O(N) 42303 34000
METHOD_DEAFAULT-O(2N) 89325 35000
METHOD_OPTMIZED-O(N) 37781 35000
METHOD_DEAFAULT-O(2N) 109035 36000
METHOD_OPTMIZED-O(N) 43778 36000
METHOD_DEAFAULT-O(2N) 119007 37000
METHOD_OPTMIZED-O(N) 39311 37000
METHOD_DEAFAULT-O(2N) 101774 38000
METHOD_OPTMIZED-O(N) 41117 38000
METHOD_DEAFAULT-O(2N) 109519 39000
METHOD_OPTMIZED-O(N) 42910 39000
METHOD_DEAFAULT-O(2N) 104140 40000
METHOD_OPTMIZED-O(N) 41318 40000
METHOD_DEAFAULT-O(2N) 107777 41000
METHOD_OPTMIZED-O(N) 43639 41000
METHOD_DEAFAULT-O(2N) 125165 42000
METHOD_OPTMIZED-O(N) 51292 42000
METHOD_DEAFAULT-O(2N) 136247 43000
METHOD_OPTMIZED-O(N) 49687 43000
METHOD_DEAFAULT-O(2N) 140572 44000
METHOD_OPTMIZED-O(N) 57205 44000
METHOD_DEAFAULT-O(2N) 137983 45000
METHOD_OPTMIZED-O(N) 54947 45000
METHOD_DEAFAULT-O(2N) 172019 46000
METHOD_OPTMIZED-O(N) 71565 46000
METHOD_DEAFAULT-O(2N) 137111 47000
METHOD_OPTMIZED-O(N) 55163 47000
METHOD_DEAFAULT-O(2N) 161080 48000
METHOD_OPTMIZED-O(N) 65591 48000
METHOD_DEAFAULT-O(2N) 184971 49000
METHOD_OPTMIZED-O(N) 71569 49000
METHOD_DEAFAULT-O(2N) 198124 50000
METHOD_OPTMIZED-O(N) 85549 50000
METHOD_DEAFAULT-O(2N) 181689 51000
METHOD_OPTMIZED-O(N) 73143 51000
METHOD_DEAFAULT-O(2N) 170851 52000
METHOD_OPTMIZED-O(N) 62510 52000
METHOD_DEAFAULT-O(2N) 137060 53000
METHOD_OPTMIZED-O(N) 56004 53000
METHOD_DEAFAULT-O(2N) 143861 54000
METHOD_OPTMIZED-O(N) 56746 54000
METHOD_DEAFAULT-O(2N) 152269 55000
METHOD_OPTMIZED-O(N) 59870 55000
METHOD_DEAFAULT-O(2N) 188605 56000
METHOD_OPTMIZED-O(N) 69409 56000
METHOD_DEAFAULT-O(2N) 181148 57000
METHOD_OPTMIZED-O(N) 73569 57000
METHOD_DEAFAULT-O(2N) 186909 58000
METHOD_OPTMIZED-O(N) 71418 58000
METHOD_DEAFAULT-O(2N) 171641 59000
METHOD_OPTMIZED-O(N) 68250 59000
METHOD_DEAFAULT-O(2N) 206377 60000
METHOD_OPTMIZED-O(N) 87908 60000
METHOD_DEAFAULT-O(2N) 185839 61000
METHOD_OPTMIZED-O(N) 73971 61000
METHOD_DEAFAULT-O(2N) 196998 62000
METHOD_OPTMIZED-O(N) 77208 62000
METHOD_DEAFAULT-O(2N) 203942 63000
METHOD_OPTMIZED-O(N) 79294 63000
METHOD_DEAFAULT-O(2N) 224396 64000
METHOD_OPTMIZED-O(N) 97308 64000
METHOD_DEAFAULT-O(2N) 216286 65000
METHOD_OPTMIZED-O(N) 86387 65000
METHOD_DEAFAULT-O(2N) 214729 66000
METHOD_OPTMIZED-O(N) 74389 66000
METHOD_DEAFAULT-O(2N) 188160 67000
METHOD_OPTMIZED-O(N) 71345 67000
METHOD_DEAFAULT-O(2N) 211612 68000
METHOD_OPTMIZED-O(N) 84656 68000
METHOD_DEAFAULT-O(2N) 246138 69000
METHOD_OPTMIZED-O(N) 97319 69000
METHOD_DEAFAULT-O(2N) 257255 70000
METHOD_OPTMIZED-O(N) 106836 70000
METHOD_DEAFAULT-O(2N) 259599 71000
METHOD_OPTMIZED-O(N) 105669 71000
METHOD_DEAFAULT-O(2N) 310919 72000
METHOD_OPTMIZED-O(N) 138098 72000
METHOD_DEAFAULT-O(2N) 227427 73000
METHOD_OPTMIZED-O(N) 85980 73000
METHOD_DEAFAULT-O(2N) 248840 74000
METHOD_OPTMIZED-O(N) 100820 74000
METHOD_DEAFAULT-O(2N) 336659 75000
METHOD_OPTMIZED-O(N) 147257 75000
METHOD_DEAFAULT-O(2N) 218125 76000
METHOD_OPTMIZED-O(N) 85586 76000
METHOD_DEAFAULT-O(2N) 263526 77000
METHOD_OPTMIZED-O(N) 107209 77000
METHOD_DEAFAULT-O(2N) 297535 78000
METHOD_OPTMIZED-O(N) 121182 78000
METHOD_DEAFAULT-O(2N) 252310 79000
METHOD_OPTMIZED-O(N) 99840 79000
METHOD_DEAFAULT-O(2N) 286530 80000
METHOD_OPTMIZED-O(N) 118396 80000
METHOD_DEAFAULT-O(2N) 272821 81000
METHOD_OPTMIZED-O(N) 111892 81000
METHOD_DEAFAULT-O(2N) 358900 82000
METHOD_OPTMIZED-O(N) 156391 82000
METHOD_DEAFAULT-O(2N) 289528 83000
METHOD_OPTMIZED-O(N) 115604 83000
METHOD_DEAFAULT-O(2N) 308037 84000
METHOD_OPTMIZED-O(N) 129001 84000
METHOD_DEAFAULT-O(2N) 295765 85000
METHOD_OPTMIZED-O(N) 117050 85000
METHOD_DEAFAULT-O(2N) 278132 86000
METHOD_OPTMIZED-O(N) 113216 86000
METHOD_DEAFAULT-O(2N) 320364 87000
METHOD_OPTMIZED-O(N) 132896 87000
METHOD_DEAFAULT-O(2N) 264943 88000
