Method Time Sample
prune 8680307 1000
prune 19514065 2000
prune 36711292 3000
prune 48449448 4000
prune 66448593 5000
prune 75800776 6000
prune 94405819 7000
prune 104937502 8000
prune 116466392 9000
prune 140289193 10000
prune 144161499 11000
prune 159164226 12000
prune 176366570 13000
prune 194364350 14000
prune 203204207 15000
prune 205268014 16000
prune 249173551 17000
prune 241397227 18000
prune 271130691 19000
prune 280033276 20000
prune 289541506 21000
prune 305800659 22000
prune 327594805 23000
prune 323648107 24000
prune 353999544 25000
prune 354811624 26000
prune 375240878 27000
prune 392114451 28000
prune 403919204 29000
prune 414581528 30000
prune 425205425 31000
prune 444409471 32000
prune 468042297 33000
prune 489941818 34000
prune 487176651 35000
prune 505850875 36000
prune 530231447 37000
prune 538724763 38000
prune 555278446 39000
prune 568299754 40000
prune 575208068 41000
prune 593342640 42000
prune 603047426 43000
prune 608187113 44000
prune 628568913 45000
prune 637975295 46000
prune 657874383 47000
prune 668452376 48000
prune 665645300 49000
prune 714569516 50000
prune 734170818 51000
prune 727630097 52000
prune 753929816 53000
prune 762556805 54000
prune 786945080 55000
prune 806842656 56000
prune 807981689 57000
prune 830912224 58000
prune 835210349 59000
prune 857618207 60000
prune 889919332 61000
prune 869740138 62000
prune 886621677 63000
prune 901970977 64000
prune 925611108 65000
prune 918353418 66000
prune 924505161 67000
prune 946818859 68000
prune 926601842 69000
prune 917705600 70000
prune 897049371 71000
prune 892901172 72000
prune 876795270 73000
prune 840545786 74000
prune 826406463 75000
prune 791361667 76000
prune 730948896 77000
prune 715512950 78000
prune 667013051 79000
prune 623148950 80000
pruneOptimized 1308308 14000
pruneOptimized 1870007 19000
pruneOptimized 34670 1000
pruneOptimized 109665 2000
pruneOptimized 1403516 18000
pruneOptimized 74802 3000
pruneOptimized 132503 4000
pruneOptimized 1032605 10000
pruneOptimized 1403963 13000
pruneOptimized 706125 9000
pruneOptimized 4263805 22000
pruneOptimized 3915139 21000
pruneOptimized 731379 8000
pruneOptimized 1897276 17000
pruneOptimized 451715 7000
pruneOptimized 1032312 12000
pruneOptimized 2052367 20000
pruneOptimized 695885 11000
pruneOptimized 446461 6000
pruneOptimized 1692549 16000
pruneOptimized 134504 5000
pruneOptimized 1790065 15000
pruneOptimized 4247722 24000
pruneOptimized 4854156 27000
pruneOptimized 5335007 23000
pruneOptimized 6025388 26000
pruneOptimized 5775443 25000
pruneOptimized 7940993 28000
pruneOptimized 8508309 29000
pruneOptimized 7740142 32000
pruneOptimized 8847613 31000
pruneOptimized 8590091 30000
pruneOptimized 10656004 33000
pruneOptimized 9656940 37000
pruneOptimized 11635356 35000
pruneOptimized 11082509 34000
pruneOptimized 9833443 38000
pruneOptimized 11935803 41000
pruneOptimized 10305787 39000
pruneOptimized 12001926 43000
pruneOptimized 10448565 40000
pruneOptimized 13403024 36000
pruneOptimized 13895377 42000
pruneOptimized 13637537 48000
pruneOptimized 10842885 45000
pruneOptimized 14117765 44000
pruneOptimized 18207599 46000
pruneOptimized 14447339 50000
pruneOptimized 11773783 58000
pruneOptimized 10287526 56000
pruneOptimized 22910788 47000
pruneOptimized 15500608 54000
pruneOptimized 12572645 52000
pruneOptimized 18410105 55000
pruneOptimized 20826427 51000
pruneOptimized 21313545 49000
pruneOptimized 21264420 59000
pruneOptimized 15500701 62000
pruneOptimized 22125610 57000
pruneOptimized 26611512 53000
pruneOptimized 14263813 69000
pruneOptimized 18358274 66000
pruneOptimized 26181014 61000
pruneOptimized 20090300 65000
pruneOptimized 16366248 70000
pruneOptimized 25201172 64000
pruneOptimized 20738272 68000
pruneOptimized 24449551 67000
pruneOptimized 15394204 73000
pruneOptimized 24818915 71000
pruneOptimized 38496975 60000
pruneOptimized 21762693 72000
pruneOptimized 20619642 76000
pruneOptimized 13565053 74000
pruneOptimized 37089028 63000
pruneOptimized 19706219 75000
pruneOptimized 14911461 77000
pruneOptimized 14954102 79000
pruneOptimized 12661946 80000
pruneOptimized 16040114 78000
