Method Time Sample
pruneOptimized 801341 5000
pruneOptimized 213555 2000
pruneOptimized 518557 3000
pruneOptimized 384125 4000
pruneOptimized 107251 1000
pruneOptimized 1305923 7000
pruneOptimized 1485977 6000
pruneOptimized 2103009 8000
pruneOptimized 2425574 9000
pruneOptimized 2612191 10000
pruneOptimized 3259551 11000
pruneOptimized 3371303 12000
pruneOptimized 3890399 14000
pruneOptimized 4077700 13000
pruneOptimized 3870334 15000
pruneOptimized 4309734 16000
pruneOptimized 4776989 17000
pruneOptimized 5116986 18000
pruneOptimized 5597862 19000
pruneOptimized 5421557 21000
pruneOptimized 6015837 20000
pruneOptimized 7157877 22000
pruneOptimized 7328061 24000
pruneOptimized 8288948 23000
pruneOptimized 8132682 25000
pruneOptimized 8682073 26000
pruneOptimized 8327710 27000
pruneOptimized 8456008 28000
pruneOptimized 8383844 29000
pruneOptimized 9170166 30000
pruneOptimized 8853999 31000
pruneOptimized 8770031 33000
pruneOptimized 9125171 32000
pruneOptimized 9512260 37000
pruneOptimized 10223241 34000
pruneOptimized 10569408 35000
pruneOptimized 10031129 36000
pruneOptimized 11456509 38000
pruneOptimized 11623677 40000
pruneOptimized 11570870 39000
pruneOptimized 12364420 41000
pruneOptimized 12710323 42000
pruneOptimized 12586575 43000
pruneOptimized 15301263 45000
pruneOptimized 17101783 44000
pruneOptimized 17578618 47000
pruneOptimized 17399377 46000
pruneOptimized 17138292 49000
pruneOptimized 15433035 51000
pruneOptimized 16141490 50000
pruneOptimized 19240815 48000
pruneOptimized 17442814 52000
pruneOptimized 17752130 53000
pruneOptimized 17085992 55000
pruneOptimized 18203641 54000
pruneOptimized 20355745 56000
pruneOptimized 19958443 57000
pruneOptimized 20523982 59000
pruneOptimized 22700160 58000
pruneOptimized 22894720 61000
pruneOptimized 21880550 63000
pruneOptimized 21342591 66000
pruneOptimized 21935934 62000
pruneOptimized 22008087 64000
pruneOptimized 24175704 60000
pruneOptimized 22079774 67000
pruneOptimized 23132031 65000
pruneOptimized 19402021 69000
pruneOptimized 21055966 68000
pruneOptimized 21546559 70000
pruneOptimized 21910265 71000
pruneOptimized 19534214 72000
pruneOptimized 19818303 74000
pruneOptimized 23407524 73000
pruneOptimized 23148385 75000
pruneOptimized 22392263 77000
pruneOptimized 22996331 78000
pruneOptimized 23987097 76000
pruneOptimized 25698423 79000
pruneOptimized 27491086 80000
pruneOptimized 27765214 81000
pruneOptimized 28394161 82000
pruneOptimized 28447263 84000
pruneOptimized 29641928 83000
pruneOptimized 28594883 85000
pruneOptimized 26591915 86000
pruneOptimized 27849559 87000
pruneOptimized 33577629 88000
pruneOptimized 32340888 89000
pruneOptimized 33120735 90000
pruneOptimized 35535015 91000
pruneOptimized 33483326 94000
pruneOptimized 33049591 92000
pruneOptimized 32695458 96000
pruneOptimized 34556962 93000
pruneOptimized 33174894 97000
pruneOptimized 32530944 95000
pruneOptimized 31351696 99000
pruneOptimized 31911564 100000
pruneOptimized 31741416 98000
