Method Time Sample
pruneOptimized_pior_caso 4389745 6000
pruneOptimized_pior_caso 207972 2000
pruneOptimized_pior_caso 2581250 3000
pruneOptimized_pior_caso 114879 1000
pruneOptimized_pior_caso 2812052 4000
pruneOptimized_pior_caso 7960500 5000
pruneOptimized_pior_caso 10916574 7000
pruneOptimized_pior_caso 14620793 8000
pruneOptimized_pior_caso 20969651 9000
pruneOptimized_pior_caso 22556423 10000
pruneOptimized_pior_caso 24266142 12000
pruneOptimized_pior_caso 27381420 13000
pruneOptimized_pior_caso 30928092 14000
pruneOptimized_pior_caso 32272318 11000
pruneOptimized_pior_caso 39289261 15000
pruneOptimized_pior_caso 41142473 17000
pruneOptimized_pior_caso 39467161 16000
pruneOptimized_pior_caso 37660800 18000
pruneOptimized_pior_caso 45354289 19000
pruneOptimized_pior_caso 42818771 21000
pruneOptimized_pior_caso 46850745 20000
pruneOptimized_pior_caso 49669753 22000
pruneOptimized_pior_caso 45604460 24000
pruneOptimized_pior_caso 50620287 23000
pruneOptimized_pior_caso 48883722 26000
pruneOptimized_pior_caso 63203605 25000
pruneOptimized_pior_caso 55889452 28000
pruneOptimized_pior_caso 64290723 27000
pruneOptimized_pior_caso 62821388 29000
pruneOptimized_pior_caso 69550927 30000
pruneOptimized_pior_caso 67004052 33000
pruneOptimized_pior_caso 74201879 31000
pruneOptimized_pior_caso 83170750 32000
pruneOptimized_pior_caso 81889590 34000
pruneOptimized_pior_caso 75694706 36000
pruneOptimized_pior_caso 93464972 35000
pruneOptimized_pior_caso 84889329 38000
pruneOptimized_pior_caso 97466420 37000
pruneOptimized_pior_caso 86175245 40000
pruneOptimized_pior_caso 89956049 39000
pruneOptimized_pior_caso 81683143 41000
pruneOptimized_pior_caso 95849735 42000
pruneOptimized_pior_caso 104134843 43000
pruneOptimized_pior_caso 95832046 45000
pruneOptimized_pior_caso 121986420 44000
pruneOptimized_pior_caso 99123136 48000
pruneOptimized_pior_caso 114987694 46000
pruneOptimized_pior_caso 116202878 47000
pruneOptimized_pior_caso 119981650 50000
pruneOptimized_pior_caso 116186835 51000
pruneOptimized_pior_caso 114327778 53000
pruneOptimized_pior_caso 132264508 49000
pruneOptimized_pior_caso 132252932 52000
pruneOptimized_pior_caso 121070302 55000
pruneOptimized_pior_caso 136402135 54000
pruneOptimized_pior_caso 131846580 56000
pruneOptimized_pior_caso 129660116 57000
pruneOptimized_pior_caso 133474489 58000
pruneOptimized_pior_caso 141130985 59000
pruneOptimized_pior_caso 144785561 60000
pruneOptimized_pior_caso 155006184 62000
pruneOptimized_pior_caso 162084140 63000
pruneOptimized_pior_caso 167679469 61000
pruneOptimized_pior_caso 163225313 64000
pruneOptimized_pior_caso 166129270 65000
pruneOptimized_pior_caso 180418622 66000
pruneOptimized_pior_caso 164400462 67000
pruneOptimized_pior_caso 172242209 68000
pruneOptimized_pior_caso 154397400 72000
pruneOptimized_pior_caso 169512519 70000
pruneOptimized_pior_caso 180890620 69000
pruneOptimized_pior_caso 163092815 71000
pruneOptimized_pior_caso 170770471 73000
pruneOptimized_pior_caso 173555953 74000
pruneOptimized_pior_caso 179825694 76000
pruneOptimized_pior_caso 193691437 75000
pruneOptimized_pior_caso 196518986 77000
pruneOptimized_pior_caso 198723057 78000
pruneOptimized_pior_caso 201012524 79000
pruneOptimized_pior_caso 209177461 80000
pruneOptimized_pior_caso 207776385 81000
pruneOptimized_pior_caso 231792795 82000
pruneOptimized_pior_caso 225453952 84000
pruneOptimized_pior_caso 251182142 83000
pruneOptimized_pior_caso 224287334 86000
pruneOptimized_pior_caso 227489418 87000
pruneOptimized_pior_caso 237512139 85000
pruneOptimized_pior_caso 239493816 88000
pruneOptimized_pior_caso 229656956 90000
pruneOptimized_pior_caso 245069873 89000
pruneOptimized_pior_caso 221312740 92000
pruneOptimized_pior_caso 227405811 91000
pruneOptimized_pior_caso 199394233 94000
pruneOptimized_pior_caso 206926965 93000
pruneOptimized_pior_caso 178520318 96000
pruneOptimized_pior_caso 203497474 95000
pruneOptimized_pior_caso 173872719 97000
pruneOptimized_pior_caso 143950277 98000
pruneOptimized_pior_caso 144464769 99000
pruneOptimized_pior_caso 126979250 100000
prune_pior_caso 4725913 1000
prune_pior_caso 15104552 2000
prune_pior_caso 23195919 3000
prune_pior_caso 32944738 4000
prune_pior_caso 44223442 5000
prune_pior_caso 50408718 6000
prune_pior_caso 57801947 7000
prune_pior_caso 69392745 8000
prune_pior_caso 77762294 9000
prune_pior_caso 77631642 10000
prune_pior_caso 94806258 11000
prune_pior_caso 104757385 12000
prune_pior_caso 106075800 13000
prune_pior_caso 110078089 14000
prune_pior_caso 122417226 15000
prune_pior_caso 126612161 16000
prune_pior_caso 139434016 17000
prune_pior_caso 136228944 18000
prune_pior_caso 155619645 19000
prune_pior_caso 155841469 20000
prune_pior_caso 165894696 21000
prune_pior_caso 171503935 22000
prune_pior_caso 180937992 23000
prune_pior_caso 195303287 24000
prune_pior_caso 190394945 25000
prune_pior_caso 201534953 26000
prune_pior_caso 210912703 27000
prune_pior_caso 234176528 28000
prune_pior_caso 233508968 29000
prune_pior_caso 238948340 30000
prune_pior_caso 249605589 31000
prune_pior_caso 257988927 32000
prune_pior_caso 270571706 33000
prune_pior_caso 275441982 34000
prune_pior_caso 283626343 35000
prune_pior_caso 296746891 36000
prune_pior_caso 301451992 37000
prune_pior_caso 307652296 38000
prune_pior_caso 319779158 39000
