Method Time Sample
pruneOptimized 161455 1000
pruneOptimized 1485743 5000
pruneOptimized 1635007 4000
pruneOptimized 677281 3000
pruneOptimized 639878 2000
pruneOptimized 5499880 6000
pruneOptimized 7781315 7000
pruneOptimized 10514390 8000
pruneOptimized 12578253 10000
pruneOptimized 16058872 9000
pruneOptimized 17853365 11000
pruneOptimized 18194999 13000
pruneOptimized 22025436 12000
pruneOptimized 25558851 14000
pruneOptimized 27067090 16000
pruneOptimized 29218920 15000
pruneOptimized 27247688 17000
pruneOptimized 36634203 18000
pruneOptimized 37591370 23000
pruneOptimized 42504744 19000
pruneOptimized 45706078 21000
pruneOptimized 43676293 20000
pruneOptimized 50455426 22000
pruneOptimized 49198521 24000
pruneOptimized 51904947 25000
pruneOptimized 58339641 26000
pruneOptimized 59179067 27000
pruneOptimized 62044152 28000
pruneOptimized 62787666 29000
pruneOptimized 64300935 31000
pruneOptimized 72231616 30000
pruneOptimized 74268722 32000
pruneOptimized 80138955 33000
pruneOptimized 84282479 35000
pruneOptimized 94555444 34000
pruneOptimized 86461739 37000
pruneOptimized 100155211 36000
pruneOptimized 101436145 38000
pruneOptimized 104616863 39000
pruneOptimized 101169490 40000
pruneOptimized 95961616 42000
pruneOptimized 104627608 41000
pruneOptimized 121267088 43000
pruneOptimized 117784782 44000
pruneOptimized 129690103 45000
pruneOptimized 111930464 46000
pruneOptimized 115559276 48000
pruneOptimized 123375229 47000
pruneOptimized 122346226 49000
pruneOptimized 107653935 50000
pruneOptimized 115103279 51000
pruneOptimized 115326067 52000
pruneOptimized 108775062 54000
pruneOptimized 132289250 53000
pruneOptimized 131657477 56000
pruneOptimized 133542835 55000
pruneOptimized 116712900 58000
pruneOptimized 138310283 57000
pruneOptimized 132366969 59000
pruneOptimized 130962893 60000
pruneOptimized 141622890 61000
pruneOptimized 142050343 63000
pruneOptimized 150600174 64000
pruneOptimized 147609277 62000
pruneOptimized 141644164 66000
pruneOptimized 154266573 65000
pruneOptimized 139611023 67000
pruneOptimized 166511425 68000
pruneOptimized 163871600 69000
pruneOptimized 185583251 70000
pruneOptimized 161009061 72000
pruneOptimized 163871034 73000
pruneOptimized 181592676 71000
pruneOptimized 144198682 74000
pruneOptimized 141451281 76000
pruneOptimized 163663054 75000
pruneOptimized 155855935 78000
pruneOptimized 139314693 79000
pruneOptimized 152986886 77000
pruneOptimized 167261010 80000
pruneOptimized 177285811 81000
pruneOptimized 175621342 83000
pruneOptimized 178830144 82000
pruneOptimized 190261819 84000
pruneOptimized 196093366 85000
pruneOptimized 201859930 87000
pruneOptimized 205107969 86000
pruneOptimized 215379433 89000
pruneOptimized 227401308 90000
pruneOptimized 250193559 88000
pruneOptimized 215163653 91000
pruneOptimized 222922009 92000
pruneOptimized 204621505 95000
pruneOptimized 208958827 94000
pruneOptimized 212513534 93000
pruneOptimized 178209878 96000
pruneOptimized 173303134 98000
pruneOptimized 166293765 99000
pruneOptimized 173108742 97000
pruneOptimized 128104075 100000
prune 3313100 1000
prune 11383305 2000
prune 18427666 3000
prune 26343259 4000
prune 34676768 5000
prune 41343269 6000
prune 49551611 7000
prune 56528034 8000
prune 68127952 9000
prune 74908257 10000
prune 85923391 11000
prune 92806118 12000
prune 102269324 13000
prune 109347960 14000
prune 115465194 15000
prune 124435981 16000
prune 134010018 17000
prune 139346566 18000
prune 145714446 19000
prune 156417890 20000
prune 165112345 21000
prune 172073511 22000
prune 172736643 23000
prune 179253616 24000
prune 186333309 25000
prune 188146444 26000
prune 200205245 27000
prune 211435757 28000
prune 216314476 29000
prune 223558218 30000
prune 223918948 31000
prune 231061324 32000
prune 233105292 33000
prune 248192880 34000
prune 253358132 35000
prune 257827989 36000
prune 271029894 37000
prune 272940743 38000
prune 284808701 39000
prune 296372724 40000
prune 306512680 41000
prune 305219685 42000
prune 319236939 43000
prune 318154061 44000
prune 312323243 45000
prune 336102876 46000
prune 350149826 47000
prune 353240011 48000
prune 356430606 49000
prune 380841954 50000
prune 384048513 51000
prune 378655917 52000
prune 389375230 53000
prune 409142177 54000
prune 396814836 55000
prune 416236079 56000
prune 416597117 57000
prune 435348237 58000
prune 432684701 59000
prune 445162571 60000
prune 447520493 61000
prune 459957647 62000
prune 469808675 63000
prune 477798018 64000
prune 477049416 65000
prune 486900718 66000
prune 503601550 67000
prune 511068260 68000
prune 514813010 69000
prune 534588136 70000
prune 534913804 71000
prune 554793200 72000
prune 559050096 73000
prune 572979853 74000
prune 581795783 75000
prune 583198770 76000
prune 588089173 77000
prune 620303253 78000
prune 623622190 79000
prune 630035625 80000
prune 632898743 81000
prune 658921749 82000
prune 666070944 83000
prune 656411486 84000
prune 671049464 85000
prune 682350553 86000
prune 687072232 87000
prune 681243216 88000
prune 678506141 89000
prune 665921459 90000
prune 658409327 91000
prune 650397762 92000
prune 638732612 93000
prune 595584325 94000
prune 574906164 95000
prune 556030809 96000
prune 542972306 97000
prune 472155137 98000
prune 431831521 99000
prune 419942594 100000
