Method Time Sample
prune 5690196 1000
prune 27810299 2000
prune 79601855 4000
prune 86942290 3000
prune 130646732 5000
prune 200090566 6000
prune 208877200 7000
prune 227576002 8000
prune 236913458 9000
prune 319212678 11000
prune 341555340 10000
prune 342966552 12000
prune 401552118 14000
prune 435498251 13000
prune 440644842 16000
prune 466504663 15000
prune 477765925 17000
prune 563205703 18000
prune 534676335 20000
prune 606654320 19000
prune 627243749 21000
prune 635130758 22000
prune 688360207 23000
prune 717318928 24000
prune 737855038 25000
prune 752718356 26000
prune 773922371 27000
prune 828396406 28000
prune 871862350 29000
prune 920727257 30000
prune 927346201 31000
prune 939038648 32000
prune 954854199 33000
prune 1055135395 34000
prune 1057269358 35000
prune 1101415797 36000
prune 1099371465 37000
prune 1137595131 38000
prune 1152288018 39000
prune 1137504391 40000
prune 1328788912 41000
prune 1295523037 42000
prune 1365886129 43000
prune 1339708508 44000
prune 1367463304 45000
prune 1443913200 46000
prune 1436311408 47000
prune 1434737512 48000
prune 1444858188 49000
prune 1548439413 51000
prune 1581960990 50000
prune 1606936526 52000
prune 1551707321 54000
prune 1695553572 53000
prune 1686984249 55000
prune 1771720774 56000
prune 1886432277 57000
prune 1758017254 59000
prune 1976510327 58000
prune 1868792062 60000
prune 1901031329 61000
prune 1836802076 62000
prune 1926589855 63000
prune 1940408239 65000
prune 1997910590 64000
prune 1990389303 66000
prune 2106694129 68000
prune 2311079149 67000
prune 2037963571 69000
prune 2120682247 70000
prune 2096733253 71000
prune 2160273340 72000
prune 2202135218 73000
prune 2336840404 74000
prune 2357054589 76000
prune 2423710018 75000
prune 2461896248 77000
prune 2303073478 81000
prune 2454866996 80000
prune 2666470667 78000
prune 2570877094 79000
prune 2341409848 82000
prune 2651977812 83000
prune 2602084177 84000
prune 2650583626 85000
prune 2561827182 87000
prune 2855491048 86000
prune 2734371134 88000
prune 2386848917 91000
prune 2794363127 89000
prune 2673335146 90000
prune 2594414456 92000
prune 2450565665 93000
prune 2467780324 94000
prune 2373306961 95000
prune 2382696087 96000
prune 2399558652 97000
prune 2274370668 98000
prune 1741735524 99000
prune 1731627454 100000
