Method Time Sample
prune_caso_medio 5845695 1000
prune_caso_medio 19216647 2000
prune_caso_medio 27659589 3000
prune_caso_medio 44807818 4000
prune_caso_medio 57597511 5000
prune_caso_medio 72081004 6000
prune_caso_medio 81656208 7000
prune_caso_medio 97041361 8000
prune_caso_medio 112796277 9000
prune_caso_medio 125159595 10000
prune_caso_medio 134333461 11000
prune_caso_medio 143688421 13000
prune_caso_medio 145940521 12000
prune_caso_medio 166512654 14000
prune_caso_medio 176893036 15000
prune_caso_medio 181777477 16000
prune_caso_medio 190806098 17000
prune_caso_medio 194440986 18000
prune_caso_medio 209342344 19000
prune_caso_medio 232697271 20000
prune_caso_medio 247597433 21000
prune_caso_medio 260382719 22000
prune_caso_medio 269263448 23000
prune_caso_medio 281784225 24000
prune_caso_medio 278647543 25000
prune_caso_medio 305847566 26000
prune_caso_medio 316471207 27000
prune_caso_medio 323572115 28000
prune_caso_medio 354316072 29000
prune_caso_medio 345427220 30000
prune_caso_medio 359229925 31000
prune_caso_medio 379770270 32000
prune_caso_medio 396553402 33000
prune_caso_medio 407924914 34000
prune_caso_medio 404057871 35000
prune_caso_medio 415580326 36000
prune_caso_medio 452886636 37000
prune_caso_medio 445719546 38000
prune_caso_medio 452370244 39000
prune_caso_medio 481243114 40000
prune_caso_medio 486891975 41000
prune_caso_medio 490664929 42000
prune_caso_medio 522176634 43000
prune_caso_medio 550192443 44000
prune_caso_medio 544841358 45000
prune_caso_medio 571422588 46000
prune_caso_medio 561874364 47000
prune_caso_medio 590630626 48000
prune_caso_medio 587358857 49000
prune_caso_medio 595272246 51000
prune_caso_medio 631519852 50000
prune_caso_medio 627907815 52000
prune_caso_medio 674655551 53000
prune_caso_medio 652540452 55000
prune_caso_medio 691354187 54000
prune_caso_medio 662834212 57000
prune_caso_medio 721297461 56000
prune_caso_medio 742207280 58000
prune_caso_medio 726312896 59000
prune_caso_medio 731457569 61000
prune_caso_medio 793491295 60000
prune_caso_medio 766579951 62000
prune_caso_medio 805722322 63000
prune_caso_medio 829842012 64000
prune_caso_medio 902129427 65000
prune_caso_medio 877317348 66000
prune_caso_medio 940943435 67000
prune_caso_medio 909819863 68000
prune_caso_medio 895983749 70000
prune_caso_medio 927280854 69000
prune_caso_medio 962907138 71000
prune_caso_medio 954630100 72000
prune_caso_medio 987099612 73000
prune_caso_medio 1018757200 74000
prune_caso_medio 1036699896 75000
prune_caso_medio 1087950664 76000
prune_caso_medio 1060791763 77000
prune_caso_medio 1103160912 78000
prune_caso_medio 1108709574 79000
prune_caso_medio 1046613964 80000
prune_caso_medio 1088881424 81000
prune_caso_medio 1123124645 82000
prune_caso_medio 1134727460 84000
prune_caso_medio 1182193812 83000
prune_caso_medio 1186163550 85000
prune_caso_medio 1183964487 87000
prune_caso_medio 1258167138 86000
prune_caso_medio 1232508757 88000
prune_caso_medio 1189660995 89000
prune_caso_medio 1126351992 90000
prune_caso_medio 1170508112 91000
prune_caso_medio 1071169489 92000
prune_caso_medio 1088793659 93000
prune_caso_medio 1035540399 94000
prune_caso_medio 998566908 96000
prune_caso_medio 1030047113 95000
prune_caso_medio 907448072 97000
prune_caso_medio 866011062 98000
prune_caso_medio 739477534 99000
prune_caso_medio 743291481 100000
