Method Time Sample
prune_pior_caso 4725913 1000
prune_pior_caso 15104552 2000
prune_pior_caso 23195919 3000
prune_pior_caso 32944738 4000
prune_pior_caso 44223442 5000
prune_pior_caso 50408718 6000
prune_pior_caso 57801947 7000
prune_pior_caso 69392745 8000
prune_pior_caso 77762294 9000
prune_pior_caso 77631642 10000
prune_pior_caso 94806258 11000
prune_pior_caso 104757385 12000
prune_pior_caso 106075800 13000
prune_pior_caso 110078089 14000
prune_pior_caso 122417226 15000
prune_pior_caso 126612161 16000
prune_pior_caso 139434016 17000
prune_pior_caso 136228944 18000
prune_pior_caso 155619645 19000
prune_pior_caso 155841469 20000
prune_pior_caso 165894696 21000
prune_pior_caso 171503935 22000
prune_pior_caso 180937992 23000
prune_pior_caso 195303287 24000
prune_pior_caso 190394945 25000
prune_pior_caso 201534953 26000
prune_pior_caso 210912703 27000
prune_pior_caso 234176528 28000
prune_pior_caso 233508968 29000
prune_pior_caso 238948340 30000
prune_pior_caso 249605589 31000
prune_pior_caso 257988927 32000
prune_pior_caso 270571706 33000
prune_pior_caso 275441982 34000
prune_pior_caso 283626343 35000
prune_pior_caso 296746891 36000
prune_pior_caso 301451992 37000
prune_pior_caso 307652296 38000
prune_pior_caso 319779158 39000
prune_pior_caso 330033262 40000
prune_pior_caso 335195254 41000
prune_pior_caso 329683662 42000
prune_pior_caso 362074266 43000
prune_pior_caso 378701911 44000
prune_pior_caso 384041813 45000
prune_pior_caso 398155537 46000
prune_pior_caso 400960793 47000
prune_pior_caso 397047338 48000
prune_pior_caso 412642788 49000
prune_pior_caso 420213843 50000
prune_pior_caso 423901084 51000
prune_pior_caso 429581896 52000
prune_pior_caso 442826929 53000
prune_pior_caso 447248959 54000
prune_pior_caso 445511202 55000
prune_pior_caso 457277282 56000
prune_pior_caso 467624962 57000
prune_pior_caso 489109012 58000
prune_pior_caso 473732019 59000
prune_pior_caso 483878015 60000
prune_pior_caso 501366495 61000
prune_pior_caso 516195291 62000
prune_pior_caso 509519233 63000
prune_pior_caso 524834945 64000
prune_pior_caso 522483604 65000
prune_pior_caso 542703540 66000
prune_pior_caso 544959231 67000
prune_pior_caso 561979005 68000
prune_pior_caso 574112421 69000
prune_pior_caso 575558247 70000
prune_pior_caso 565929026 71000
prune_pior_caso 576966658 72000
prune_pior_caso 597931415 73000
prune_pior_caso 595849522 74000
prune_pior_caso 594676544 75000
prune_pior_caso 618681798 76000
prune_pior_caso 658717963 77000
prune_pior_caso 655232101 78000
prune_pior_caso 649790463 79000
prune_pior_caso 700473764 80000
prune_pior_caso 685621173 81000
prune_pior_caso 689969237 82000
prune_pior_caso 701237768 83000
prune_pior_caso 719507296 84000
prune_pior_caso 717544985 85000
prune_pior_caso 748501128 86000
prune_pior_caso 748664346 87000
prune_pior_caso 758019902 88000
prune_pior_caso 754349417 89000
prune_pior_caso 729499061 90000
prune_pior_caso 739798461 91000
prune_pior_caso 694544778 92000
prune_pior_caso 670226802 93000
prune_pior_caso 653196901 94000
prune_pior_caso 649835940 95000
prune_pior_caso 592303300 96000
prune_pior_caso 575479010 97000
prune_pior_caso 547337319 98000
prune_pior_caso 499737257 99000
prune_pior_caso 438369870 100000
